url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/opentable/jobs/8495745002	2026-07-15	greenhouse-api	Sr. Manager, Revenue Strategy & Operations (Remote)	OpenTable	added	Vancouver, Canada
https://job-boards.greenhouse.io/humanagency/jobs/7645051003	2026-07-15	greenhouse-api	AI Resilience Fund Manager	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657829003	2026-07-15	greenhouse-api	AI Resilience Fund Manager - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7581379003	2026-07-15	greenhouse-api	Chief of Staff	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7589006003	2026-07-15	greenhouse-api	Chief of Staff to the Managing Director of AI	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7663502003	2026-07-15	greenhouse-api	Chief of Staff - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7646763003	2026-07-15	greenhouse-api	Chief Revenue Officer	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7619322003	2026-07-15	greenhouse-api	Head of Business Development	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7668078003	2026-07-15	greenhouse-api	Managing Director of Technology	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7668368003	2026-07-15	greenhouse-api	Managing Director of Technology - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7644970003	2026-07-15	greenhouse-api	Product CEO / Venture Studio Director	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657941003	2026-07-15	greenhouse-api	Product CEO / Venture Studio Director - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7646018003	2026-07-15	greenhouse-api	Registered Financial Advisor	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7646045003	2026-07-15	greenhouse-api	Venture Executive	Human Agency	added	US and Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657985003	2026-07-15	greenhouse-api	Venture Executive - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/marqeta/jobs/7852425	2026-07-15	greenhouse-api	Assistant Manager, Bank Partnerships	Marqeta	added	Toronto, Canada; Vancouver, Canada
